Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Changes,29753.469387755104,109.95678191489361,0.04814961,-71.58783,15.921885,0.9283404315600695,0.00024176818,0.9330531,21.533625556408467,0.4780785,0.0,50.0
Holy,30000.0,125.0,0.16343537,-70.45662,21.819681,0.9336079295090278,0.0016131415,0.9610488,22.90123417754356,0.35109344,0.0,50.0
Lonely,30000.0,140.625,0.22611009,-63.26546,27.634129,0.8993070695824921,0.00094215584,1.4382591,21.88373050634884,0.5899273,0.0,50.0
Anyone,30000.0,117.1875,0.10473435,-71.29483,26.578093,0.9188652757168163,0.0008173896,1.0207555,22.000818378591482,0.44200256,0.0,50.0
Peaches,30000.0,127.8409090909091,0.112354636,-65.82303,22.20767,0.8654211960443641,0.0003543796,1.3303272,20.814838062808626,0.4609464,0.0,50.0
Ur So Gay,30000.0,137.1951219512195,0.2379238,-66.66369,21.529928,0.8933026908780631,0.0020477567,1.373499,21.20833190454153,0.37258723,0.0,50.0
I Kissed a Girl,30000.0,130.8139534883721,0.257571,-62.93168,19.406454,0.8777935731530068,0.00018539104,1.2722329,20.61196856755792,0.50661397,0.0,50.0
Hot n Cold,30000.0,130.8139534883721,0.19831188,-61.126663,19.925922,0.81377158574556,0.015406994,1.5600189,20.345719075543368,0.52910143,0.0,50.0
Thinking of You,30000.0,125.0,0.13593094,-62.86633,29.164577,0.8730541072843628,0.03767813,1.0773809,20.728770620763697,0.4010699,0.0,50.0
Waking Up in Vegas,30000.0,130.8139534883721,0.18413328,-64.099396,18.72425,0.8714987187977954,0.0003293495,1.1259221,22.247644754691393,0.42232487,0.0,50.0
Teenage Dream,30000.0,119.68085106382979,0.10021363,-62.607323,22.684437,0.8766562091630007,0.0010698624,1.3181919,22.690946110932398,0.35514748,0.0,50.0
California Gurls,29753.469387755104,126.04801829268293,0.16123435,-66.55408,25.17645,0.853051075553523,0.0021954833,1.2186707,21.556958461891817,0.4955811,0.0,50.0
Firework,30000.0,106.13207547169812,0.08260452,-63.89067,20.441683,0.8610263896230238,6.074789e-05,1.232134,21.192144414056045,0.39744085,0.0,50.0
The One That Got Away,29753.469387755104,132.51201923076923,0.21402124,-64.845764,23.099688,0.872750847743019,0.0012312225,1.3806434,22.20499129561003,0.4680799,0.0,50.0
Part of Me,30000.0,125.0,0.16676,-71.21102,26.869204,0.9205214134938228,0.0014559962,1.2739872,23.72552605345136,0.53176445,0.0,50.0
Wide Awake,30000.0,148.02631578947367,0.12666398,-69.10152,20.650484,0.8934902791367496,0.005205217,1.2490861,20.844707731825523,0.5093653,0.0,50.0
Roar,30000.0,90.66611842105263,0.22659339,-63.00375,22.832802,0.872096152569412,0.037282415,1.2442489,20.01047951377068,0.49762675,0.0,50.0
Unconditionally,30000.0,92.21311475409836,0.08923521,-74.520874,27.641104,0.9384292074447024,0.0026379935,0.9806217,19.89503052918635,0.55655986,0.0,50.0
Dark Horse,30000.0,127.8409090909091,0.2765728,-60.738106,20.65978,0.8562557649826926,0.00022993408,1.2501266,22.93826538048782,0.43936756,0.0,50.0
Birthday,30000.0,160.71428571428572,0.10425879,-67.08568,17.307728,0.8830265927106804,0.01149263,1.2138882,20.999621569896977,0.42291266,0.0,50.0
This Is How We Do,29753.469387755104,103.359375,0.088414885,-66.62863,26.976257,0.8563752937382088,0.0054202126,1.0669214,21.35505119929323,0.46625298,0.0,50.0
Rise,30000.0,160.71428571428572,0.10425879,-67.08568,17.307728,0.8830265927106804,0.01149263,1.2138882,20.999621569896977,0.42291266,0.0,50.0
Chained to the Rhythm,29753.469387755104,126.04801829268293,0.18566553,-66.99136,23.58272,0.8831815249077253,0.001382355,1.1242667,21.98747800961662,0.4034766,0.0,50.0
Bon Appétit,30000.0,106.13207547169812,0.20499372,-65.96986,23.058716,0.8891998338773868,0.002523928,1.3579663,22.365708899027723,0.5463699,0.0,50.0
Swish Swish,30000.0,152.02702702702703,0.3931288,-62.196537,16.73272,0.8505675187397064,0.0022951476,1.29645,22.02755647038798,0.5985643,0.0,50.0
Never Really Over,29753.469387755104,99.38401442307692,0.13215299,-66.868126,23.191465,0.8623617751678186,0.0010525602,1.2637043,22.441037224684056,0.37215787,0.0,50.0
Small Talk,30000.0,144.23076923076923,0.20446543,-70.050415,31.689192,0.8734655478568478,0.0249176,1.2207028,20.661774523682684,0.42618105,0.0,50.0
Harleys in Hawaii,30000.0,127.8409090909091,0.21887422,-70.266624,22.024525,0.9138093071724652,0.0013707845,1.2766259,22.191172041532408,0.5041077,0.0,50.0
Daisies,30000.0,112.34714673913044,0.057333045,-54.946823,18.857294,0.7990880792764626,0.0021986132,1.5443221,20.11750663207129,0.48494962,0.0,50.0
Smile,30000.0,119.68085106382979,0.0,0.0,1.8780049e-05,1.0,1.0000008,0.0,0.0,0.0,0.0,50.0
Not the End of the World,30000.0,119.68085106382979,0.12209474,-67.8062,17.155256,0.88722541398289,6.93173e-05,1.0635858,20.972773225839383,0.48804235,0.0,50.0
Electric,30000.0,112.34714673913044,0.19211833,-75.62079,27.436666,0.9607010909167369,0.005148168,0.9798881,23.183393059102688,0.53229547,0.0,50.0
Walking on Air,30000.0,95.33898305084746,0.23953322,-60.204636,17.168896,0.8239400388392568,0.0018622695,1.4052356,20.330767758619544,0.61231565,0.0,50.0
