Song Title,duration_ms,tempo,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,chroma,explicit,popularity
Nintendo Game,30000.0,117.1875,0.106542125,-65.76144,23.059357,0.8938062105580158,0.045942914,1.2749331,19.955000906992467,0.48085374,0.0,50.0
A Little More,30000.0,117.1875,0.17000937,-66.036224,25.668423,0.9038299816340095,0.0014570575,1.4285024,21.00898465636627,0.59690326,0.0,50.0
Sweet Dream,30000.0,119.68085106382979,0.191662,-67.305,21.690203,0.895837513574096,0.0019088843,1.1595974,20.968323410608203,0.48220798,0.0,50.0
Best Days,30000.0,114.79591836734694,0.06328361,-74.77098,23.670683,0.9378672628121935,0.0022998669,0.8378071,21.41109469541952,0.40687132,0.0,50.0
Lie to Me,30000.0,130.8139534883721,0.20349208,-65.44806,23.246988,0.8928830186256483,0.0025724934,1.3654411,19.94832489114028,0.546294,0.0,50.0
You Let Me Down,30000.0,100.44642857142857,0.11781048,-75.344925,16.409567,0.9575982183408704,0.024892645,0.8652089,21.87033732018228,0.5077771,0.0,50.0
I Don't Want To,30000.0,130.8139534883721,0.26281974,-71.74283,22.177803,0.9316107370660063,2.2475782e-05,1.1941134,22.00315579783832,0.6887059,0.0,50.0
River of Tears,29753.469387755104,120.18531976744185,0.13811427,-71.58179,25.988932,0.9252251532213469,0.00048304859,0.8036473,23.232556570532992,0.29332945,0.0,50.0
Middle Ground,30000.0,108.17307692307692,0.11863634,-74.05533,24.407959,0.9503718844978574,0.0140582975,0.8110152,21.34713812077364,0.42987797,0.0,50.0
Okay Okay,30000.0,137.1951219512195,0.050997086,-69.548935,26.908695,0.9177883048703845,0.00010027828,0.8716986,22.198906164106848,0.41749185,0.0,50.0
Somebody Else,30000.0,117.45383522727273,0.13277575,-66.87741,18.211845,0.8921310058163809,8.769022e-05,1.0237381,23.227640045549713,0.39928305,0.0,50.0
Bad Day,30000.0,127.8409090909091,0.20701492,-66.19379,24.373838,0.8902811960202681,0.012667376,1.5000517,21.03873946654203,0.48679546,0.0,50.0
Lie to Me,30000.0,130.8139534883721,0.20349208,-65.44806,23.246988,0.8928830186256483,0.0025724934,1.3654411,19.94832489114028,0.546294,0.0,50.0
Jimmy Gets High,29753.469387755104,129.19921875,0.21481565,-60.098354,17.758263,0.8611572260573348,0.00076077867,1.2065609,23.220526307002633,0.41372672,0.0,50.0
Best of Me,30000.0,119.68085106382979,0.15565605,-71.94326,23.74397,0.9381629241121437,0.0019624333,0.9814855,21.574974359185184,0.46153417,0.0,50.0
Whole World Around,30000.0,133.92857142857142,0.08856493,-73.0854,22.92957,0.9596075041004436,0.00285864,0.8160129,23.19815308100219,0.34786755,0.0,50.0
Next Plane Home,29753.469387755104,129.19921875,0.017343123,-72.57388,17.652546,0.8997529132663784,0.017937072,0.98798174,20.052612194907535,0.5743461,0.0,50.0
Love You Lately,29753.469387755104,120.18531976744185,0.10316406,-70.9355,26.1628,0.9126401451056889,0.00033466567,0.9335417,24.105480006579214,0.40973234,0.0,50.0
Crazy All My Life,30000.0,119.68085106382979,0.22282453,-64.949,23.19912,0.8812837789723142,0.0016435859,1.3132128,21.888197132259986,0.45967954,0.0,50.0
Come Back Home,30000.0,86.53846153846153,0.21665663,-73.46819,23.143608,0.9555707367712685,0.0016615738,1.1224372,20.67966045697409,0.58201283,0.0,50.0
